

		----------------------- K = 1 ---------------


Day 68 	#Susceptible = 35 	#Infected = 150 (+0) 	#Recovered = 9815 (+7)
Day 69 	#Susceptible = 35 	#Infected = 139 (+0) 	#Recovered = 9826 (+11)
Day 70 	#Susceptible = 35 	#Infected = 131 (+0) 	#Recovered = 9834 (+8)
Day 71 	#Susceptible = 35 	#Infected = 120 (+0) 	#Recovered = 9845 (+11)
Day 72 	#Susceptible = 35 	#Infected = 108 (+0) 	#Recovered = 9857 (+12)
Day 73 	#Susceptible = 35 	#Infected = 102 (+0) 	#Recovered = 9863 (+6)
Day 74 	#Susceptible = 35 	#Infected = 93 (+0) 	#Recovered = 9872 (+9)
Day 75 	#Susceptible = 35 	#Infected = 87 (+0) 	#Recovered = 9878 (+6)
Day 76 	#Susceptible = 35 	#Infected = 78 (+0) 	#Recovered = 9887 (+9)
Day 77 	#Susceptible = 35 	#Infected = 71 (+0) 	#Recovered = 9894 (+7)
Day 78 	#Susceptible = 35 	#Infected = 65 (+0) 	#Recovered = 9900 (+6)
Day 79 	#Susceptible = 35 	#Infected = 61 (+0) 	#Recovered = 9904 (+4)
Day 80 	#Susceptible = 35 	#Infected = 55 (+0) 	#Recovered = 9910 (+6)
Day 81 	#Susceptible = 35 	#Infected = 53 (+0) 	#Recovered = 9912 (+2)
Day 82 	#Susceptible = 35 	#Infected = 52 (+0) 	#Recovered = 9913 (+1)
Day 83 	#Susceptible = 35 	#Infected = 47 (+0) 	#Recovered = 9918 (+5)
Day 84 	#Susceptible = 35 	#Infected = 40 (+0) 	#Recovered = 9925 (+7)
Day 85 	#Susceptible = 35 	#Infected = 39 (+0) 	#Recovered = 9926 (+1)
Day 86 	#Susceptible = 35 	#Infected = 37 (+0) 	#Recovered = 9928 (+2)
Day 87 	#Susceptible = 35 	#Infected = 36 (+0) 	#Recovered = 9929 (+1)
Day 88 	#Susceptible = 35 	#Infected = 33 (+0) 	#Recovered = 9932 (+3)
Day 89 	#Susceptible = 35 	#Infected = 33 (+0) 	#Recovered = 9932 (+0)
Day 90 	#Susceptible = 35 	#Infected = 29 (+0) 	#Recovered = 9936 (+4)
Day 91 	#Susceptible = 35 	#Infected = 25 (+0) 	#Recovered = 9940 (+4)
Day 92 	#Susceptible = 35 	#Infected = 22 (+0) 	#Recovered = 9943 (+3)
Day 93 	#Susceptible = 35 	#Infected = 19 (+0) 	#Recovered = 9946 (+3)
Day 94 	#Susceptible = 35 	#Infected = 15 (+0) 	#Recovered = 9950 (+4)
Day 95 	#Susceptible = 35 	#Infected = 15 (+0) 	#Recovered = 9950 (+0)
Day 96 	#Susceptible = 35 	#Infected = 14 (+0) 	#Recovered = 9951 (+1)
Day 97 	#Susceptible = 35 	#Infected = 12 (+0) 	#Recovered = 9953 (+2)
Day 98 	#Susceptible = 35 	#Infected = 10 (+0) 	#Recovered = 9955 (+2)
Day 99 	#Susceptible = 35 	#Infected = 9 (+0) 	#Recovered = 9956 (+1)
Day 100 	#Susceptible = 35 	#Infected = 9 (+0) 	#Recovered = 9956 (+0)
R0 4.911196911196911
R at peak infection day 0.16045845272206305


		----------------------- K = 2 ---------------


Day 0 	#Susceptible = 9995 	#Infected = 5 (+0) 	#Recovered = 0 (+0)
Day 1 	#Susceptible = 9992 	#Infected = 8 (+3) 	#Recovered = 0 (+0)
Day 2 	#Susceptible = 9985 	#Infected = 15 (+7) 	#Recovered = 0 (+0)
Day 3 	#Susceptible = 9964 	#Infected = 36 (+21) 	#Recovered = 0 (+0)
Day 4 	#Susceptible = 9911 	#Infected = 85 (+53) 	#Recovered = 4 (+4)
Day 5 	#Susceptible = 9773 	#Infected = 214 (+138) 	#Recovered = 13 (+9)
Day 6 	#Susceptible = 9465 	#Infected = 507 (+308) 	#Recovered = 28 (+15)
Day 7 	#Susceptible = 8786 	#Infected = 1151 (+679) 	#Recovered = 63 (+35)
Day 8 	#Susceptible = 7646 	#Infected = 2222 (+1140) 	#Recovered = 132 (+69)
Day 9 	#Susceptible = 6135 	#Infected = 3577 (+1511) 	#Recovered = 288 (+156)
Day 10 	#Susceptible = 4664 	#Infected = 4791 (+1471) 	#Recovered = 545 (+257)
Day 11 	#Susceptible = 3350 	#Infected = 5765 (+1314) 	#Recovered = 885 (+340)
Day 12 	#Susceptible = 2391 	#Infected = 6307 (+959) 	#Recovered = 1302 (+417)
Day 13 	#Susceptible = 1685 	#Infected = 6573 (+706) 	#Recovered = 1742 (+440)
Day 14 	#Susceptible = 1223 	#Infected = 6551 (+462) 	#Recovered = 2226 (+484)
Day 15 	#Susceptible = 888 	#Infected = 6451 (+335) 	#Recovered = 2661 (+435)
Day 16 	#Susceptible = 659 	#Infected = 6212 (+229) 	#Recovered = 3129 (+468)
Day 17 	#Susceptible = 502 	#Infected = 5912 (+157) 	#Recovered = 3586 (+457)
Day 18 	#Susceptible = 392 	#Infected = 5583 (+110) 	#Recovered = 4025 (+439)
Day 19 	#Susceptible = 310 	#Infected = 5265 (+82) 	#Recovered = 4425 (+400)
Day 20 	#Susceptible = 249 	#Infected = 4934 (+61) 	#Recovered = 4817 (+392)
Day 21 	#Susceptible = 206 	#Infected = 4647 (+43) 	#Recovered = 5147 (+330)
Day 22 	#Susceptible = 180 	#Infected = 4315 (+26) 	#Recovered = 5505 (+358)
Day 23 	#Susceptible = 149 	#Infected = 4044 (+31) 	#Recovered = 5807 (+302)
Day 24 	#Susceptible = 121 	#Infected = 3781 (+28) 	#Recovered = 6098 (+291)
Day 25 	#Susceptible = 107 	#Infected = 3546 (+14) 	#Recovered = 6347 (+249)
Day 26 	#Susceptible = 92 	#Infected = 3314 (+15) 	#Recovered = 6594 (+247)
Day 27 	#Susceptible = 88 	#Infected = 3056 (+4) 	#Recovered = 6856 (+262)
Day 28 	#Susceptible = 82 	#Infected = 2846 (+6) 	#Recovered = 7072 (+216)
Day 29 	#Susceptible = 77 	#Infected = 2641 (+5) 	#Recovered = 7282 (+210)
Day 30 	#Susceptible = 68 	#Infected = 2465 (+9) 	#Recovered = 7467 (+185)
Day 31 	#Susceptible = 65 	#Infected = 2284 (+3) 	#Recovered = 7651 (+184)
Day 32 	#Susceptible = 64 	#Infected = 2125 (+1) 	#Recovered = 7811 (+160)
Day 33 	#Susceptible = 60 	#Infected = 1953 (+4) 	#Recovered = 7987 (+176)
Day 34 	#Susceptible = 58 	#Infected = 1840 (+2) 	#Recovered = 8102 (+115)
Day 35 	#Susceptible = 56 	#Infected = 1704 (+2) 	#Recovered = 8240 (+138)
Day 36 	#Susceptible = 55 	#Infected = 1585 (+1) 	#Recovered = 8360 (+120)
Day 37 	#Susceptible = 54 	#Infected = 1469 (+1) 	#Recovered = 8477 (+117)
Day 38 	#Susceptible = 53 	#Infected = 1373 (+1) 	#Recovered = 8574 (+97)
Day 39 	#Susceptible = 51 	#Infected = 1293 (+2) 	#Recovered = 8656 (+82)
Day 40 	#Susceptible = 51 	#Infected = 1196 (+0) 	#Recovered = 8753 (+97)
Day 41 	#Susceptible = 50 	#Infected = 1113 (+1) 	#Recovered = 8837 (+84)
Day 42 	#Susceptible = 48 	#Infected = 1056 (+2) 	#Recovered = 8896 (+59)
Day 43 	#Susceptible = 48 	#Infected = 979 (+0) 	#Recovered = 8973 (+77)
Day 44 	#Susceptible = 48 	#Infected = 910 (+0) 	#Recovered = 9042 (+69)
Day 45 	#Susceptible = 48 	#Infected = 857 (+0) 	#Recovered = 9095 (+53)
Day 46 	#Susceptible = 48 	#Infected = 787 (+0) 	#Recovered = 9165 (+70)
Day 47 	#Susceptible = 48 	#Infected = 727 (+0) 	#Recovered = 9225 (+60)
Day 48 	#Susceptible = 48 	#Infected = 672 (+0) 	#Recovered = 9280 (+55)
Day 49 	#Susceptible = 48 	#Infected = 626 (+0) 	#Recovered = 9326 (+46)
Day 50 	#Susceptible = 48 	#Infected = 580 (+0) 	#Recovered = 9372 (+46)
Day 51 	#Susceptible = 48 	#Infected = 539 (+0) 	#Recovered = 9413 (+41)
Day 52 	#Susceptible = 48 	#Infected = 498 (+0) 	#Recovered = 9454 (+41)
Day 53 	#Susceptible = 48 	#Infected = 443 (+0) 	#Recovered = 9509 (+55)
Day 54 	#Susceptible = 48 	#Infected = 403 (+0) 	#Recovered = 9549 (+40)
Day 55 	#Susceptible = 48 	#Infected = 371 (+0) 	#Recovered = 9581 (+32)
Day 56 	#Susceptible = 48 	#Infected = 337 (+0) 	#Recovered = 9615 (+34)
Day 57 	#Susceptible = 47 	#Infected = 313 (+1) 	#Recovered = 9640 (+25)
Day 58 	#Susceptible = 46 	#Infected = 289 (+1) 	#Recovered = 9665 (+25)
Day 59 	#Susceptible = 46 	#Infected = 272 (+0) 	#Recovered = 9682 (+17)
Day 60 	#Susceptible = 45 	#Infected = 253 (+1) 	#Recovered = 9702 (+20)
Day 61 	#Susceptible = 45 	#Infected = 246 (+0) 	#Recovered = 9709 (+7)
Day 62 	#Susceptible = 45 	#Infected = 224 (+0) 	#Recovered = 9731 (+22)
Day 63 	#Susceptible = 45 	#Infected = 208 (+0) 	#Recovered = 9747 (+16)
Day 64 	#Susceptible = 44 	#Infected = 192 (+1) 	#Recovered = 9764 (+17)
Day 65 	#Susceptible = 44 	#Infected = 180 (+0) 	#Recovered = 9776 (+12)
Day 66 	#Susceptible = 44 	#Infected = 167 (+0) 	#Recovered = 9789 (+13)
Day 67 	#Susceptible = 44 	#Infected = 151 (+0) 	#Recovered = 9805 (+16)
Day 68 	#Susceptible = 44 	#Infected = 145 (+0) 	#Recovered = 9811 (+6)
Day 69 	#Susceptible = 43 	#Infected = 136 (+1) 	#Recovered = 9821 (+10)
Day 70 	#Susceptible = 43 	#Infected = 129 (+0) 	#Recovered = 9828 (+7)
Day 71 	#Susceptible = 43 	#Infected = 116 (+0) 	#Recovered = 9841 (+13)
Day 72 	#Susceptible = 43 	#Infected = 110 (+0) 	#Recovered = 9847 (+6)
Day 73 	#Susceptible = 43 	#Infected = 104 (+0) 	#Recovered = 9853 (+6)
Day 74 	#Susceptible = 43 	#Infected = 98 (+0) 	#Recovered = 9859 (+6)
Day 75 	#Susceptible = 43 	#Infected = 93 (+0) 	#Recovered = 9864 (+5)
Day 76 	#Susceptible = 43 	#Infected = 83 (+0) 	#Recovered = 9874 (+10)
Day 77 	#Susceptible = 43 	#Infected = 77 (+0) 	#Recovered = 9880 (+6)
Day 78 	#Susceptible = 43 	#Infected = 73 (+0) 	#Recovered = 9884 (+4)
Day 79 	#Susceptible = 43 	#Infected = 69 (+0) 	#Recovered = 9888 (+4)
Day 80 	#Susceptible = 43 	#Infected = 67 (+0) 	#Recovered = 9890 (+2)
Day 81 	#Susceptible = 42 	#Infected = 64 (+1) 	#Recovered = 9894 (+4)
Day 82 	#Susceptible = 42 	#Infected = 59 (+0) 	#Recovered = 9899 (+5)
Day 83 	#Susceptible = 42 	#Infected = 57 (+0) 	#Recovered = 9901 (+2)
Day 84 	#Susceptible = 42 	#Infected = 56 (+0) 	#Recovered = 9902 (+1)
Day 85 	#Susceptible = 42 	#Infected = 51 (+0) 	#Recovered = 9907 (+5)
Day 86 	#Susceptible = 42 	#Infected = 45 (+0) 	#Recovered = 9913 (+6)
Day 87 	#Susceptible = 42 	#Infected = 42 (+0) 	#Recovered = 9916 (+3)
Day 88 	#Susceptible = 42 	#Infected = 41 (+0) 	#Recovered = 9917 (+1)
Day 89 	#Susceptible = 42 	#Infected = 37 (+0) 	#Recovered = 9921 (+4)
Day 90 	#Susceptible = 42 	#Infected = 33 (+0) 	#Recovered = 9925 (+4)
Day 91 	#Susceptible = 42 	#Infected = 31 (+0) 	#Recovered = 9927 (+2)
